Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Vol,Latitude,Longitude,Deaths,path_cost,path_safety
"[""1800 <= Year >= 2025"",""Country = INDIA""]",,,,,,,,,,,0,0
,1803,9,1,,,,,31,79,,0,0
,1819,6,16,23,30,,,23,71,1543,0,0
,1828,6,6,,,0,,34.2,74.5,1000,0,0
,1833,5,30,,,,,29.4,80.1,,0,0
,1843,4,1,,,0,,19,77,,0,0
,1845,6,19,,,,,23.583,68.367,,0,0
,1846,12,10,,,0,,26,93,,0,0
,1847,10,31,,,,,7.333,93.667,,0,0
,1869,1,10,,,,,24.5,92.5,2,0,0
,1881,12,31,,,,,8.52,92.43,,0,0
,1885,5,30,,,,,34.5,74.68,3000,0,0
,1885,6,6,,,,,34,76,,0,0
,1897,6,12,11,6,46,,26,90.7,1542,0,0
,1905,4,4,0,49,59.2,,32.597,76.916,19000,0,0
,1941,6,26,11,52,3.7,,11.94,92.626,,0,0
,1943,10,23,17,23,21.2,,26.705,93.829,,0,0
,1947,7,29,13,43,22,,28.5,94,,0,0
,1950,8,15,14,9,30,,28.5,96.5,1530,0,0
,1955,5,17,14,49,49,,6.5,94,,0,0
,1956,7,21,15,32,30.1,,23.278,70.107,156,0,0
,1960,8,27,15,58,0,,28.6,76.7,,0,0
,1961,2,4,8,51,0,,24.9,93.34,,0,0
,1963,9,2,1,34,0,,33.9,74.8,80,0,0
,1966,8,15,2,15,0,,28.7,78.9,15,0,0
,1967,12,10,22,51,23.5,,17.412,73.885,180,0,0
,1970,3,23,1,52,59.3,,21.7,73,26,0,0
,1975,1,19,8,2,2.5,,32.46,78.43,47,0,0
,1980,8,23,21,36,51.6,,32.913,75.633,15,0,0
,1980,8,23,21,50,3,,32.834,75.629,,0,0
,1982,1,20,4,25,11.6,,6.946,94.002,,0,0
,1984,12,30,23,33,37.7,,24.641,92.891,20,0,0
,1986,4,26,7,35,16.1,,32.128,76.374,6,0,0
,1991,10,19,21,23,14.3,,30.78,78.774,2000,0,0
,1991,11,8,15,13,44.1,,26.323,70.607,,0,0
,1993,9,29,22,25,48.6,,18.066,76.451,11000,0,0
,1993,11,12,13,27,28.1,,18.12,76.533,,0,0
,1997,5,21,22,51,28.7,,23.083,80.041,56,0,0
,1997,11,21,11,23,6.3,,22.212,92.702,23,0,0
,1999,3,28,19,5,11,,30.512,79.403,100,0,0
,2000,1,3,22,34,12.6,,22.132,92.771,,0,0
,2001,1,26,3,16,42.8,,23.388,70.326,20005,0,0
,2002,9,13,22,28,29.4,,13.036,93.068,2,0,0
,2004,12,9,8,49,0.2,,24.757,92.539,,0,0
,2005,2,15,11,15,11.7,,24.55,92.524,,0,0
,2005,3,14,9,43,49.1,,17.145,73.73,,0,0
,2005,3,15,2,7,6.8,,17.072,73.668,,0,0
,2005,7,24,15,42,6.2,,7.92,92.19,,0,0
,2005,8,14,6,33,32.5,,17.398,74.118,,0,0
,2005,8,16,3,45,54.1,,30.924,78.56,,0,0
,2005,8,30,8,53,17.4,,17.067,73.773,,0,0
,2005,12,14,7,9,54.1,,30.476,79.255,1,0,0
,2006,2,14,0,55,25,,27.382,88.388,2,0,0
,2006,3,7,18,20,46.1,,23.777,70.899,,0,0
,2006,4,6,17,59,16.4,,23.322,70.477,,0,0
,2006,12,24,22,43,26.7,,26.88,76.15,,0,0
,2007,7,22,23,2,14.7,,30.881,78.239,,0,0
,2007,8,20,19,15,53.5,,17.2,73.7,,0,0
,2007,11,6,9,38,5.7,,21.181,70.724,1,0,0
,2007,11,25,23,12,17,,28.555,77.057,,0,0
,2008,2,6,6,9,40.4,,23.433,87.111,1,0,0
,2008,3,9,11,10,41,,23.33,70.592,,0,0
,2008,6,6,21,16,33.8,,24.702,84.964,,0,0
,2008,9,16,21,47,14.5,,17.438,73.915,1,0,0
,2009,3,26,4,44,11.6,,22.399,85.903,,0,0
,2009,4,9,1,46,58.2,,27.143,70.749,,0,0
,2009,5,19,19,29,48.9,,33.198,75.787,,0,0
,2009,8,10,19,55,35.6,,14.099,92.888,,0,0
,2009,12,12,11,51,25.7,,17.109,73.767,,0,0
,2010,3,30,16,54,46.7,,13.667,92.831,,0,0
,2010,5,1,22,36,29.3,,30.099,80.026,,0,0
,2010,6,12,19,26,50.4,,7.881,91.936,,0,0
,2010,6,18,23,9,31,,13.197,93.087,,0,0
,2010,6,22,23,14,10.8,,29.872,80.428,,0,0
,2011,9,7,17,58,18.7,,28.724,77.189,,0,0
,2011,9,18,12,40,51.8,,27.73,88.155,127,0,0
,2011,10,20,17,18,34.1,,21.211,70.533,,0,0
,2011,10,29,0,43,55.1,,27.449,88.684,2,0,0
,2012,5,11,12,41,35.3,,26.175,92.889,,0,0
,2012,10,18,2,33,27.9,,23.739,81.314,,0,0
,2013,5,1,6,57,13.4,,33.061,75.863,3,0,0
,2013,8,2,21,37,46.1,,33.297,75.95,,0,0
,2015,6,28,1,5,28.6,,26.638,90.41,,0,0
,2016,1,3,23,5,22.3,,24.804,93.651,13,0,0
,2017,1,3,9,9,2.1,,24.015,92.018,3,0,0
,2018,9,12,4,50,46.6,,26.371,90.161,1,0,0
,2019,2,1,10,23,54,,19.9,72.8,1,0,0
,2019,7,24,19,33,15,,20,72.9,1,0,0
,2021,4,28,2,21,26,,26.782,92.436,2,0,0
,2023,6,13,8,3,40,,33.096,75.896,,0,0
,2024,3,21,0,38,31,,19.49,77.255,,0,0
,2024,8,20,1,15,55,,34.161,74.268,,0,0
